sale_id,date,customer_id,dog_name,service,price_mxn,payment_method,employee_id,notes,is_churned
DD-000448,2023-01-09,C-238,Max,Hotel,520.0,Efectivo,EMP-05,,0
DD-000037,2023-01-09,C-018,Toby,Baño,410.0,Efectivo,EMP-08,,1
DD-000097,2023-01-09,C-052,Estrella,Guardería,160.0,Efectivo,EMP-01,,1
DD-000519,2023-01-09,C-274,Nena,Baño,400.0,Tarjeta,EMP-08,pago pendiente,0
DD-000482,2023-01-09,C-255,Frida,Adiestramiento,420.0,Transferencia,EMP-06,,0
DD-000462,2023-01-09,C-244,Coco,Guardería,230.0,Efectivo,EMP-08,cliente VIP,0
DD-000318,2023-01-09,C-172,Tito,Guardería,230.0,Tarjeta,EMP-05,,0
DD-000164,2023-01-09,C-092,Rocky,Adiestramiento,570.0,Tarjeta,EMP-03,descuento aplicado,0
DD-000096,2023-01-09,C-052,Estrella,Hotel,390.0,Efectivo,EMP-03,perro agresivo,1
DD-000124,2023-01-09,C-072,Chico,Guardería,240.0,Transferencia,EMP-05,perro agresivo,1
DD-000105,2023-01-09,C-058,Gordo,Corte,360.0,Tarjeta,EMP-03,alérgico a champú,1
DD-000133,2023-01-10,C-076,Bear,Corte,480.0,Efectivo,EMP-03,,1
DD-000128,2023-01-10,C-072,Chico,Guardería,240.0,Tarjeta,EMP-05,,1
DD-000246,2023-01-10,C-136,Simba,Hotel,550.0,Tarjeta,EMP-02,,0
DD-000082,2023-01-10,C-043,Luna,Guardería,210.0,Transferencia,EMP-05,,1
DD-000222,2023-01-10,C-121,Duke,Adiestramiento,770.0,Efectivo,EMP-07,,0
DD-000065,2023-01-10,C-034,Gus,Adiestramiento,460.0,Transferencia,EMP-01,cliente VIP,1
DD-000282,2023-01-10,C-155,Nala,Guardería,230.0,Efectivo,EMP-01,,0
DD-000281,2023-01-10,C-154,Nena,Adiestramiento,500.0,Efectivo,EMP-01,perro agresivo,0
DD-000549,2023-01-10,C-297,Sasha,Hotel,450.0,Efectivo,EMP-05,,0
DD-000551,2023-01-10,C-297,Sasha,Guardería,150.0,Efectivo,EMP-07,,0
DD-000428,2023-01-10,C-228,Sasha,Guardería,170.0,Efectivo,EMP-01,,0
DD-000378,2023-01-10,C-199,Pepa,Guardería,240.0,Efectivo,EMP-02,,0
DD-000401,2023-01-10,C-212,Negro,Corte,450.0,Efectivo,EMP-08,descuento aplicado,0
DD-000399,2023-01-10,C-211,Lobo,Adiestramiento,410.0,Tarjeta,EMP-05,,0
DD-000593,2023-01-10,C-316,Nina,Baño,370.0,Tarjeta,EMP-02,propina incluida,0
DD-000253,2023-01-10,C-140,Chispa,Guardería,240.0,Tarjeta,EMP-08,descuento aplicado,0
DD-000345,2023-01-10,C-183,Sammy,Guardería,160.0,Transferencia,EMP-08,cliente frecuente,0
DD-000477,2023-01-10,C-253,Luna,Corte,490.0,Transferencia,EMP-01,,0
DD-000226,2023-01-10,C-123,Ringo,Guardería,220.0,Transferencia,EMP-04,,0
DD-000444,2023-01-10,C-234,Toby,Baño,290.0,Tarjeta,EMP-05,,0
DD-000045,2023-01-10,C-023,Tito,Baño,240.0,Transferencia,EMP-02,requiere cita previa,1
DD-000563,2023-01-10,C-302,Fifi,Hotel,430.0,Tarjeta,EMP-05,,0
DD-000429,2023-01-10,C-228,Sasha,Guardería,160.0,Efectivo,EMP-01,descuento aplicado,0
DD-000150,2023-01-10,C-085,Beto,Baño,290.0,Tarjeta,EMP-08,propina incluida,0
DD-000392,2023-01-10,C-209,Manchas,Guardería,200.0,Efectivo,EMP-07,primera visita,0
DD-000053,2023-01-11,C-028,Princesa,Baño,350.0,Efectivo,EMP-01,,1
DD-000338,2023-01-11,C-179,Nina,Baño,370.0,Tarjeta,EMP-03,cliente VIP,0
DD-000427,2023-01-11,C-228,Sasha,Guardería,220.0,Tarjeta,EMP-01,traer vacunas,0
DD-000561,2023-01-11,C-302,Fifi,Corte,360.0,Efectivo,EMP-05,,0
DD-000238,2023-01-11,C-131,Sultan,Guardería,160.0,Tarjeta,EMP-04,cliente frecuente,0
DD-000303,2023-01-11,C-162,Kira,Baño,220.0,Efectivo,EMP-01,,0
DD-000353,2023-01-11,C-187,Simba,Guardería,160.0,Efectivo,EMP-03,cliente VIP,0
DD-000300,2023-01-11,C-161,Chispa,Corte,370.0,Efectivo,EMP-04,pago pendiente,0
DD-000370,2023-01-11,C-195,Rocky,Guardería,170.0,Transferencia,EMP-04,perro agresivo,0
DD-000288,2023-01-11,C-157,Thor,Baño,330.0,Efectivo,EMP-06,primera visita,0
DD-000248,2023-01-11,C-137,Sasha,Hotel,350.0,Efectivo,EMP-03,cliente frecuente,0
DD-000250,2023-01-11,C-139,Panda,Guardería,160.0,Efectivo,EMP-03,,0
DD-000269,2023-01-11,C-149,Toby,Guardería,190.0,Tarjeta,EMP-08,cliente VIP,0
DD-000420,2023-01-11,C-226,Chispa,Corte,490.0,Tarjeta,EMP-07,traer vacunas,0
DD-000244,2023-01-11,C-135,Bella,Adiestramiento,420.0,Efectivo,EMP-05,,0
DD-000567,2023-01-11,C-303,Toby,Baño,200.0,Transferencia,EMP-07,,0
DD-000212,2023-01-11,C-116,Bonita,Guardería,190.0,Transferencia,EMP-02,cliente frecuente,0
DD-000455,2023-01-11,C-241,Canela,Guardería,200.0,Transferencia,EMP-06,,0
DD-000553,2023-01-11,C-297,Sasha,Guardería,180.0,Tarjeta,EMP-04,,0
DD-000198,2023-01-11,C-109,Lobo,Baño,340.0,Tarjeta,EMP-02,requiere cita previa,0
DD-000199,2023-01-11,C-109,Lobo,Baño,370.0,Tarjeta,EMP-05,cliente frecuente,0
DD-000206,2023-01-11,C-115,Charlie,Hotel,590.0,Tarjeta,EMP-05,,0
DD-000118,2023-01-11,C-067,Bonita,Guardería,200.0,Efectivo,EMP-01,primera visita,1
DD-000537,2023-01-11,C-287,Maya,Guardería,210.0,Transferencia,EMP-03,descuento aplicado,0
DD-000095,2023-01-11,C-052,Estrella,Corte,430.0,Tarjeta,EMP-07,,1
DD-000538,2023-01-11,C-288,Boby,Adiestramiento,780.0,Tarjeta,EMP-01,cliente frecuente,0
DD-000497,2023-01-11,C-263,Nena,Baño,360.0,Tarjeta,EMP-01,,0
DD-000540,2023-01-11,C-290,Lola,Guardería,160.0,Efectivo,EMP-02,pago pendiente,0
DD-000218,2023-01-11,C-120,Duke,Corte,340.0,Efectivo,EMP-01,,0
DD-000495,2023-01-11,C-261,Sultan,Hotel,440.0,Tarjeta,EMP-03,traer vacunas,0
DD-000510,2023-01-11,C-271,Pancho,Baño,320.0,Efectivo,EMP-06,,0
DD-000132,2023-01-12,C-075,Chato,Baño,210.0,Transferencia,EMP-04,propina incluida,1
DD-000512,2023-01-12,C-271,Pancho,Hotel,480.0,Transferencia,EMP-05,perro agresivo,0
DD-000377,2023-01-12,C-199,Pepa,Baño,380.0,Tarjeta,EMP-08,cliente VIP,0
DD-000169,2023-01-12,C-096,Chato,Baño,290.0,Efectivo,EMP-08,traer vacunas,0
DD-000264,2023-01-12,C-147,Rex,Guardería,220.0,Efectivo,EMP-04,,0
DD-000142,2023-01-12,C-082,Zeus,Baño,430.0,Tarjeta,EMP-07,,0
DD-000373,2023-01-12,C-197,Mia,Adiestramiento,640.0,Transferencia,EMP-01,requiere cita previa,0
DD-000004,2023-01-12,C-003,Bella,Baño,420.0,Tarjeta,EMP-03,alérgico a champú,1
DD-000063,2023-01-12,C-033,Max,Corte,320.0,Efectivo,EMP-06,pago pendiente,1
DD-000215,2023-01-12,C-119,Canela,Corte,270.0,Transferencia,EMP-02,cliente frecuente,0
DD-000237,2023-01-12,C-131,Sultan,Baño,310.0,Efectivo,EMP-07,,0
DD-000084,2023-01-12,C-043,Luna,Hotel,460.0,Transferencia,EMP-03,primera visita,1
DD-000207,2023-01-12,C-115,Charlie,Guardería,250.0,Efectivo,EMP-03,descuento aplicado,0
DD-000194,2023-01-13,C-108,Sasha,Guardería,200.0,Tarjeta,EMP-01,,0
DD-000431,2023-01-13,C-229,Bella,Guardería,200.0,Efectivo,EMP-06,requiere cita previa,0
DD-000487,2023-01-13,C-257,Canela,Baño,370.0,Transferencia,EMP-02,,0
DD-000279,2023-01-13,C-153,Chato,Guardería,190.0,Efectivo,EMP-02,descuento aplicado,0
DD-000234,2023-01-13,C-129,Tigrillo,Corte,250.0,Tarjeta,EMP-04,perro agresivo,0
DD-000558,2023-01-13,C-299,Negro,Guardería,170.0,Efectivo,EMP-03,,0
DD-000481,2023-01-13,C-255,Frida,Corte,320.0,Efectivo,EMP-02,traer vacunas,0
DD-000135,2023-01-13,C-076,Bear,Guardería,250.0,Transferencia,EMP-01,cliente VIP,1
DD-000059,2023-01-13,C-032,Tito,Guardería,160.0,Tarjeta,EMP-04,,1
DD-000090,2023-01-13,C-047,Gus,Guardería,190.0,Transferencia,EMP-05,,1
DD-000187,2023-01-13,C-103,Panda,Guardería,190.0,Efectivo,EMP-06,,0
DD-000557,2023-01-13,C-298,Ringo,Baño,350.0,Efectivo,EMP-04,traer vacunas,0
DD-000161,2023-01-13,C-092,Rocky,Corte,440.0,Tarjeta,EMP-05,cliente VIP,0
DD-000333,2023-01-13,C-178,Coco,Guardería,210.0,Efectivo,EMP-03,traer vacunas,0
DD-000533,2023-01-13,C-282,Rosa,Guardería,190.0,Tarjeta,EMP-05,,0
DD-000412,2023-01-13,C-220,Sammy,Guardería,170.0,Efectivo,EMP-07,,0
DD-000371,2023-01-13,C-197,Mia,Guardería,250.0,Tarjeta,EMP-05,pago pendiente,0
DD-000208,2023-01-13,C-116,Bonita,Guardería,240.0,Tarjeta,EMP-06,traer vacunas,0
DD-000258,2023-01-13,C-143,Rex,Adiestramiento,630.0,Efectivo,EMP-07,alérgico a champú,0
DD-000011,2023-01-13,C-005,Canela,Adiestramiento,790.0,Efectivo,EMP-07,,1
DD-000083,2023-01-13,C-043,Luna,Guardería,200.0,Transferencia,EMP-04,,1
DD-000570,2023-01-13,C-304,Buddy,Guardería,200.0,Tarjeta,EMP-04,pago pendiente,0
DD-000113,2023-01-14,C-064,Bella,Guardería,150.0,Efectivo,EMP-04,propina incluida,1
DD-000351,2023-01-14,C-187,Simba,Corte,450.0,Efectivo,EMP-08,,0
DD-000588,2023-01-14,C-316,Nina,Guardería,200.0,Transferencia,EMP-04,alérgico a champú,0
